Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district,category
140000.0,2.0,2258.0,7.0,9.0,1969.0,62.0,47.0,9.0,6.0,Омеляновича-Павленка,Оболонський,економ
105000.0,4.0,847.0,25.0,26.0,2018.0,124.0,71.0,16.0,37.0,Ованеса Туманяна,Оболонський,бізнес
175000.0,3.0,1786.0,25.0,26.0,2010.0,98.0,37.0,14.0,47.0,Ованеса Туманяна,Оболонський,бізнес
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,10.0,Петропавлівська,Оболонський,економ
82000.0,2.0,1281.0,18.0,26.0,2009.0,64.0,37.0,14.0,13.0,Дніпровська,Оболонський,бізнес
168535.7,3.0,1872.6,4.0,9.0,1966.0,90.0,45.0,10.0,35.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",бізнес
4500000.0,4.0,14610.0,18.0,21.0,2011.0,308.0,37.0,14.0,257.0,Івана Мазепи,Оболонський,бізнес
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,22.0,Дніпровська,Оболонський,бізнес
120000.0,1.0,2500.0,8.0,25.0,2012.0,48.0,18.0,16.0,14.0,Ділова,"Голосіївський, Печерський",бізнес
57500.0,3.0,625.0,9.0,9.0,1970.0,92.0,37.0,14.0,41.0,Новодарницька,Дарницький,бізнес
98000.0,2.0,1633.0,21.0,34.0,2014.0,60.0,41.0,27.0,0.0,Ревуцького,Дарницький,бізнес
170000.0,3.0,1735.0,16.0,22.0,2018.0,98.0,48.0,35.0,15.0,Липківського,Подільський,бізнес
320000.0,5.0,1963.0,23.0,25.0,2017.0,163.0,100.0,14.0,49.0,Бендукідзе,Подільський,бізнес
65000.0,1.0,2600.0,1.0,3.0,2009.0,25.0,20.0,3.0,2.0,Введенська,Подільський,економ
125000.0,2.0,2778.0,6.0,9.0,1965.0,45.0,37.0,14.0,0.0,Виноградний,Печерський,економ
48000.0,1.0,849.0,22.0,25.0,2009.0,55.0,40.0,10.0,5.0,Кайсарова,"Голосіївський,Солом'янський",бізнес
70000.0,1.0,1273.0,26.0,27.0,2004.0,55.0,22.0,12.0,21.0,Ахматової,Оболонський,бізнес
75000.0,3.0,1005.0,4.0,26.0,2009.0,66.0,37.0,14.0,15.0,Радченка,Оболонський,бізнес
84000.0,2.0,1273.0,6.0,26.0,2009.0,66.0,37.0,18.0,11.0,Дніпровська,Оболонський,бізнес
175000.0,1.0,1725.8,7.0,25.0,2012.0,70.0,37.0,14.0,19.0,Ділова,"Голосіївський, Печерський",бізнес
63000.0,3.0,900.0,7.0,10.0,1987.0,70.0,44.0,14.0,12.0,Бориспільська,Дарницький,бізнес
390000.0,3.0,3000.0,11.0,28.0,2013.0,130.0,48.0,66.0,16.0,Болсуновська,Печерський,бізнес
335000.0,3.0,3160.0,24.0,28.0,2017.0,106.0,55.0,24.0,27.0,Українки,Голосіївський,бізнес
320000.0,3.0,3137.0,15.0,24.0,2016.0,102.0,70.0,20.0,12.0,Антонова,Голосіївський,бізнес
118000.0,2.0,1311.0,15.0,25.0,1959.0,90.0,41.0,13.0,36.0,Науки,Голосіївський,бізнес
159990.0,4.0,1437.0,6.0,10.0,2016.0,60.0,37.0,30.0,0.0,Метрологічна,Голосіївський,бізнес
85000.0,3.0,1417.0,2.0,5.0,1961.0,60.0,44.0,6.0,10.0,Дружби Народів,Печерський,економ
155022.2,1.0,2541.3,8.0,18.0,2009.0,61.0,37.0,14.0,10.0,Драгомирова,Голосіївський,бізнес
590000.0,3.0,5900.0,8.0,18.0,2009.0,100.0,37.0,14.0,49.0,Драгомирова,Голосіївський,бізнес
84000.0,2.0,1333.0,2.0,16.0,2016.0,63.0,32.0,15.0,16.0,Данченка,Голосіївський,бізнес
35000.0,2.0,778.0,1.0,2.0,2009.0,45.0,37.0,14.0,0.0,Кримська,Голосіївський,економ
63000.0,2.0,969.0,4.0,25.0,2009.0,65.0,31.0,13.0,21.0,Новопольова,Солом'янський,бізнес
40000.0,2.0,870.0,3.0,5.0,1963.0,46.0,30.0,8.0,8.0,Туполєва,Оболонський,економ
42654.8,1.0,1375.9,8.0,18.0,2009.0,31.0,37.0,14.0,0.0,Дніпровська,Оболонський,бізнес
60000.0,1.0,1463.0,2.0,26.0,2009.0,41.0,37.0,14.0,0.0,Дніпровська,Оболонський,економ
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,37.0,14.0,29.0,Перемоги,Шевченківський,бізнес
346500.0,2.0,4500.0,7.0,24.0,2019.0,77.0,38.0,20.0,19.0,Івана Федорова,"Деснянський, Дніпровський",бізнес
46998.0,2.0,1000.0,5.0,5.0,1968.0,47.0,35.0,8.0,4.0,Братиславська,"Деснянський, Дніпровський",економ
10092.1,1.0,672.8,8.0,18.0,2009.0,15.0,37.0,14.0,0.0,Червоноткацька,Дарницький,економ
29256.6,1.0,978.5,1.0,5.0,2009.0,47.0,37.0,14.0,0.0,Червоноткацька,Дарницький,економ
166000.0,1.0,3532.0,2.0,9.0,2009.0,47.0,22.0,16.0,9.0,Златоустівська,Дарницький,економ
115000.0,4.0,1369.0,5.0,9.0,1970.0,84.0,35.0,9.0,40.0,Бойченка,Дарницький,економ
